seqlen,ffa,fa3,cudnn,fa2,flex,sdpa,ffa-min,fa3-min,cudnn-min,fa2-min,flex-min,sdpa-min,ffa-max,fa3-max,cudnn-max,fa2-max,flex-max,sdpa-max
4096.0,521.3688840909983,520.7788361157988,475.5559053436243,291.6904864865449,208.28864049381207,273.03611649523725,522.1548389190658,527.1450983477611,476.0492672031531,291.98978354684857,210.59652313559042,273.14401317748917,521.225449019888,519.8375822772314,475.27804818124184,291.56270461530096,207.56924449856288,272.8353849117093
8192.0,536.5422919390475,574.9211135613064,487.33531113082296,306.90248715132486,245.71712069865174,299.6474846836305,536.6871202739133,577.9849371149247,487.9590914055089,307.04494402014166,245.74340557278418,299.65375668722504,536.2126986386342,574.833895733977,486.6910435631707,306.82383945810506,245.69084144681233,299.6015118528783
16384.0,580.2709662064595,604.8298530173081,518.6192820723676,318.68138060335485,246.84418404217917,318.0990030693117,586.7466956940651,607.5621845644424,519.5688312316139,318.68138060335485,246.84418404217917,318.0990030693117,573.9365792279789,603.8171301857162,517.6732283115833,318.68138060335485,246.84418404217917,318.0990030693117
24576.0,586.8587769732645,619.5395885978818,525.176284456057,295.7773342099103,249.6797617536043,280.61008705576074,586.8587769732645,619.5395885978818,525.176284456057,295.7773342099103,249.6797617536043,280.61008705576074,586.8587769732645,619.5395885978818,525.176284456057,295.7773342099103,249.6797617536043,280.61008705576074
32768.0,508.8763424598932,546.4142349320545,476.5035273058198,322.2191713747848,248.55840065735282,322.90269929377996,508.8763424598932,546.4142349320545,476.5035273058198,322.2191713747848,248.55840065735282,322.90269929377996,508.8763424598932,546.4142349320545,476.5035273058198,322.2191713747848,248.55840065735282,322.90269929377996
49152.0,560.2027554181791,594.109446742963,500.6131312047523,320.60198088090567,244.83314605783028,313.7239061051242,560.2027554181791,594.109446742963,500.6131312047523,320.60198088090567,244.83314605783028,313.7239061051242,560.2027554181791,594.109446742963,500.6131312047523,320.60198088090567,244.83314605783028,313.7239061051242
65536.0,585.2493639688959,616.1999381977512,513.8642120272531,321.1277759454873,246.62705546668164,308.5451316042646,585.2493639688959,616.1999381977512,513.8642120272531,321.1277759454873,246.62705546668164,308.5451316042646,585.2493639688959,616.1999381977512,513.8642120272531,321.1277759454873,246.62705546668164,308.5451316042646
98304.0,573.8135590841817,588.8974284492626,511.6705553994679,321.4900507673958,245.71949166212346,300.2350824381711,573.8135590841817,588.8974284492626,511.6705553994679,321.4900507673958,245.71949166212346,300.2350824381711,573.8135590841817,588.8974284492626,511.6705553994679,321.4900507673958,245.71949166212346,300.2350824381711
131072.0,555.8970815811832,580.523098138034,471.8184630265221,321.4206352213927,241.18857130305068,254.9928713486089,555.8970815811832,580.523098138034,471.8184630265221,321.4206352213927,241.18857130305068,254.9928713486089,555.8970815811832,580.523098138034,471.8184630265221,321.4206352213927,241.18857130305068,254.9928713486089
